name;kurzname;blz;bic;plz;ort
Sparkasse Freiburg-Nördlicher Breisgau;Spk Freiburg-Nördl Breisgau;68050101;FRSPDE66XXX;79098;Freiburg im Breisgau
Sparkasse Freising Moosburg;Sparkasse Freising Moosburg;70051003;BYLADEM1FSI;85354;Freising
Sparkasse Freyung-Grafenau;Spk Freyung-Grafenau;74051230;BYLADEM1FRG;94078;Freyung
Sparkasse Fulda;Sparkasse Fulda;53050180;HELADEF1FDS;36035;Fulda
Sparkasse Fürstenfeldbruck;Spk Fürstenfeldbruck;70053070;BYLADEM1FFB;82243;Fürstenfeldbruck
Sparkasse Fürth;Spk Fürth;76250000;BYLADEM1SFU;90762;Fürth
Sparkasse Gelsenkirchen;Sparkasse Gelsenkirchen;42050001;WELADED1GEK;45801;Gelsenkirchen
Sparkasse Gera-Greiz;Spk Gera-Greiz;83050000;HELADEF1GER;07503;Gera
Sparkasse Geseke;Sparkasse Geseke;41651965;WELADED1GES;59585;Geseke
Sparkasse Gießen;Sparkasse Gießen;51350025;SKGIDE5FXXX;35347;Gießen
Sparkasse Grünberg;Sparkasse Grünberg;51351526;HELADEF1GRU;35305;Grünberg
Sparkasse Gummersbach;Spk Gummersbach;38450000;WELADED1GMB;51608;Gummersbach
Sparkasse Göttingen;Sparkasse Göttingen;26050001;NOLADE21GOE;37070;Göttingen
Sparkasse Gütersloh-Rietberg-Versmold;Spk.Gütersl.-Rietb.-Versmo.;47850065;WELADED1GTL;33260;Gütersloh
Sparkasse Hameln-Weserbergland;Spk Hameln-Weserbergland;25450110;NOLADE21SWB;31763;Hameln
Sparkasse Hamm;Sparkasse Hamm;41050095;WELADED1HAM;59061;Hamm
Sparkasse Hanauerland;Spk Hanauerland Kehl;66451862;SOLADES1KEL;77694;Kehl
Sparkasse Hannover;Sparkasse Hannover;25050180;SPKHDE2HXXX;30001;Hannover
Sparkasse Harburg-Buxtehude;Spk Harburg-Buxtehude;20750000;NOLADE21HAM;21045;Hamburg
Sparkasse Hattingen;Sparkasse Hattingen;43051040;WELADED1HTG;45504;Hattingen
Sparkasse Hegau-Bodensee;Sparkasse Hegau-Bodensee;69250035;SOLADES1SNG;78202;Singen (Hohentwiel)
Sparkasse Heidelberg;Spk Heidelberg;67250020;SOLADES1HDB;69004;Heidelberg
Sparkasse Hellweg-Lippe;Sparkasse Hellweg-Lippe;41450075;WELADED1SOS;59553;Lippstadt
Sparkasse Herford;Sparkasse Herford;49450120;WLAHDE44XXX;32045;Herford
Sparkasse Hilden-Ratingen-Velbert;Sparkasse HRV;33450000;WELADED1VEL;42510;Velbert
Sparkasse Hildesheim Goslar Peine;Sparkasse HGP;25950130;NOLADE21HIK;31134;Hildesheim
Sparkasse Hochfranken;Spk Hochfranken;78050000;BYLADEM1HOF;95015;Hof
Sparkasse Hochrhein;Sparkasse Hochrhein;68452290;SKHRDE6WXXX;79761;Waldshut-Tiengen
Sparkasse Hochschwarzwald;Spk Hochschwarzwald T-Neust;68051004;SOLADES1HSW;79812;Titisee-Neustadt
Sparkasse Hockenheim;Spk Hockenheim;67051203;SOLADES1HOC;68766;Hockenheim
Sparkasse Hohenlohekreis;Sparkasse Hohenlohekreis;62251550;SOLADES1KUN;74641;Künzelsau
Sparkasse Holstein;Spk Holstein Eutin;21352240;NOLADE21HOL;23692;Eutin
Sparkasse Ingolstadt Eichstätt;Spk Ingolstadt Eichstätt;72150000;BYLADEM1ING;85023;Ingolstadt
Sparkasse Jena-Saale-Holzland;Spk Jena-Saale-Holzland;83053030;HELADEF1JEN;07740;Jena
Sparkasse Kaiserslautern;Spk Kaiserslautern;54050220;MALADE51KLK;67653;Kaiserslautern
Sparkasse Karlsruhe;Spk Karlsruhe;66050101;KARSDE66XXX;76041;Karlsruhe
Sparkasse Kierspe-Meinerzhagen;Spk Kierspe-Meinerzhagen;45851665;WELADED1KMZ;58531;Meinerzhagen
Sparkasse Kinzigtal;Spk Kinzigtal;66451548;SOLADES1HAL;77716;Haslach im Kinzigtal
Sparkasse Koblenz;Sparkasse Koblenz;57050120;MALADE51KOB;56013;Koblenz
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim;Spk Kraichgau;66350036;BRUSDE66XXX;76643;Bruchsal
Sparkasse Krefeld;Sparkasse Krefeld;32050000;SPKRDE33XXX;47719;Krefeld
Sparkasse Kulmbach-Kronach;Spk Kulmbach-Kronach;77150000;BYLADEM1KUB;95311;Kulmbach
Sparkasse KölnBonn;Sparkasse KölnBonn;37050198;COLSDE33XXX;50667;Köln
Sparkasse Landsberg-Dießen;Spk Landsberg-Dießen;70052060;BYLADEM1LLD;86896;Landsberg am Lech
Sparkasse Landshut;Spk Landshut;74350000;BYLADEM1LAH;84011;Landshut
Sparkasse Langen-Seligenstadt;Spk Langen-Seligenstadt;50652124;HELADEF1SLS;63487;Seligenstadt
Sparkasse Laubach-Hungen;Sparkasse Laubach-Hungen;51352227;HELADEF1LAU;35321;Laubach
Sparkasse LeerWittmund;Sparkasse LeerWittmund;28550000;BRLADE21LER;26766;Leer (Ostfriesland)
Sparkasse Lemgo;Sparkasse Lemgo;48250110;WELADED1LEM;32655;Lemgo
Sparkasse Leverkusen;Sparkasse Leverkusen;37551440;WELADEDLLEV;51312;Leverkusen
Sparkasse Lörrach-Rheinfelden;Sparkasse Lörrach-Rheinfeld;68350048;SKLODE66XXX;79537;Lörrach
Sparkasse Lüneburg;Spk Lüneburg;24050110;NOLADE21LBG;21309;Lüneburg
Sparkasse MagdeBurg;Spk MDB;81053272;NOLADE21MDG;39015;Magdeburg
Sparkasse Mainfranken Würzburg;Spk Mainfranken Würzburg;79050000;BYLADEM1SWU;97067;Würzburg
Sparkasse Mansfeld-Südharz;Sparkasse Mansfeld-Südharz;80055008;NOLADE21EIL;06283;Lutherstadt Eisleben
Sparkasse Marburg-Biedenkopf;Spk Marburg-Biedenkopf;53350000;HELADEF1MAR;35009;Marburg
Sparkasse Markgräflerland;Sparkasse Markgräflerland;68351865;SOLADES1MGL;79576;Weil am Rhein
Sparkasse Mecklenburg-Nordwest;Spk Mecklenburg-Nordwest;14051000;NOLADE21WIS;23951;Wismar
Sparkasse Mecklenburg-Schwerin;Spk Mecklenburg-Schwerin;14052000;NOLADE21LWL;19053;Schwerin
Sparkasse Mecklenburg-Strelitz;Spk Mecklenburg-Strelitz;15051732;NOLADE21MST;17235;Neustrelitz
Sparkasse Meißen;Spk Meißen;85055000;SOLADES1MEI;01587;Riesa
Sparkasse Merzig-Wadern;Spk Merzig-Wadern;59351040;MERZDE55XXX;66651;Merzig
Sparkasse Minden-Lübbecke;Sparkasse Minden-Lübbecke;49050101;WELADED1MIN;32382;Minden
Sparkasse Mittelfranken-Süd;Spk Mittelfranken-Süd;76450000;BYLADEM1SRS;91154;Roth
Sparkasse Mittelholstein;Spk Mittelholst Rendsburg;21450000;NOLADE21RDB;24768;Rendsburg
Sparkasse Mittelmosel-Eifel Mosel Hunsrück;Spk Mittelmosel EMH;58751230;MALADE51BKS;54469;Bernkastel-Kues
Sparkasse Mittelsachsen;Spk Mittelsachsen;87052000;WELADED1FGX;09583;Freiberg
Sparkasse Mittelthüringen;Spk Mittelthüringen;82051000;HELADEF1WEM;99084;Erfurt
Sparkasse Mitten im Sauerland;Spk Mitten im Sauerland;46650005;WELADED1ARN;59872;Meschede
Sparkasse Muldental;Spk Muldental;86050200;SOLADES1GRM;04662;Grimma
Sparkasse Märkisches Sauerland Hemer-Menden;Spk Märkisches Sauerland;44551210;WELADED1HEM;58675;Hemer
Sparkasse Mülheim an der Ruhr;Spk Mülheim an der Ruhr;36250000;SPMHDE3EXXX;45466;Mülheim an der Ruhr
Sparkasse Münsterland Ost;Spk Münsterland Ost;40050150;WELADED1MST;48151;Münster
Sparkasse Neckartal-Odenwald;Spk Neckartal-Odenwald;67450048;SOLADES1MOS;74819;Mosbach
Sparkasse Neu-Ulm-Illertissen;Spk Neu-Ulm Illertissen;73050000;BYLADEM1NUL;89231;Neu-Ulm
Sparkasse Neubrandenburg-Demmin;Spk Neubrandenburg-Demmin;15050200;NOLADE21NBS;17041;Neubrandenburg
Sparkasse Neumarkt i d OPf-Parsberg;Spk Neumarkt i d OPf-Parsbg;76052080;BYLADEM1NMA;92303;Neumarkt i.d.OPf.
Sparkasse Neunkirchen;Sparkasse Neunkirchen;59252046;SALADE51NKS;66538;Neunkirchen
Sparkasse Neuss;Sparkasse Neuss;30550000;WELADEDNXXX;41456;Neuss
Sparkasse Neuwied;Sparkasse Neuwied;57450120;MALADE51NWD;56510;Neuwied
Sparkasse Niederbayern-Mitte;Spk Niederbayern-Mitte;74250000;BYLADEM1SRG;94304;Straubing
Sparkasse Niederlausitz;Sparkasse Niederlausitz;18055000;WELADED1OSL;01957;Senftenberg
Sparkasse Nienburg;Sparkasse Nienburg;25650106;NOLADE21NIB;31567;Nienburg (Weser)
Sparkasse Nordschwaben;Sparkasse Nordschwaben;72251520;BYLADEM1DLG;89407;Dillingen a.d.Donau
Sparkasse Nürnberg;Sparkasse Nürnberg;76050101;SSKNDE77XXX;90327;Nürnberg
Sparkasse Oberhessen;Spk Oberhessen;51850079;HELADEF1FRI;61167;Friedberg (Hessen)
Sparkasse Oberland;Sparkasse Oberland;70351030;BYLADEM1WHM;82362;Weilheim i. OB
Sparkasse Oberlausitz-Niederschlesien;Spk Oberlausitz-Niederschl.;85050100;WELADED1GRL;02763;Zittau
Sparkasse Oberpfalz Nord;Spk Oberpfalz Nord;75350000;BYLADEM1WEN;92615;Weiden i.d.OPf.
Sparkasse Odenwaldkreis;Spk Odenwaldkreis Erbach;50851952;HELADEF1ERB;64711;Erbach
Sparkasse Oder-Spree;Sparkasse Oder-Spree;17055050;WELADED1LOS;15203;Frankfurt (Oder)
Sparkasse Offenburg/Ortenau;Sparkasse Offenburg/Ortenau;66450050;SOLADES1OFG;77662;Offenburg
Sparkasse Olpe-Drolshagen-Wenden;Spk Olpe-Drolshagen-Wenden;46250049;WELADED1OPE;57447;Olpe
Sparkasse Osnabrück;Sparkasse Osnabrück;26550105;NOLADE22XXX;49018;Osnabrück
Sparkasse Osterode am Harz;Sparkasse Osterode am Harz;26351015;NOLADE21HZB;37520;Osterode am Harz
Sparkasse Ostprignitz-Ruppin;Spk Ostprignitz-Ruppin;16050202;WELADED1OPR;16816;Neuruppin
Sparkasse Paderborn-Detmold-Höxter;Spk Paderborn-Detmold-Höxt.;47650130;WELADE3LXXX;32756;Detmold
Sparkasse Parchim-Lübz;Sparkasse Parchim-Lübz;14051362;NOLADE21PCH;19370;Parchim
Sparkasse Passau;Spk Passau;74050000;BYLADEM1PAS;94014;Passau
Sparkasse Pfaffenhofen;Spk Pfaffenhofen;72151650;BYLADEM1PAF;85262;Pfaffenhofen a.d.Ilm
Sparkasse Pforzheim Calw;Sparkasse Pforzheim Calw;66650085;PZHSDE66XXX;75172;Pforzheim
Sparkasse Pfullendorf-Meßkirch;Spk Pfullendorf-Meßkirch;69051620;SOLADES1PFD;88630;Pfullendorf
Sparkasse Prignitz;Sparkasse Prignitz;16050101;WELADED1PRP;16928;Pritzwalk
Sparkasse Rastatt-Gernsbach;Sparkasse Rastatt-Gernsbach;66550070;SOLADES1RAS;76402;Rastatt
Sparkasse Regen-Viechtach;Sparkasse Regen-Viechtach;74151450;BYLADEM1REG;94202;Regen
Sparkasse Regensburg;Spk Regensburg;75050000;BYLADEM1RBG;93042;Regensburg
Sparkasse Rhein Neckar Nord;Spk Rhein Neckar Nord;67050505;MANSDE66XXX;68151;Mannheim
Sparkasse Rhein-Haardt;Spk Rhein-Haardt;54651240;MALADE51DKH;67087;Bad Dürkheim
Sparkasse Rhein-Maas;Sparkasse Rhein-Maas;32450000;WELADED1KLE;47533;Kleve
Sparkasse Rhein-Nahe;Sparkasse Rhein-Nahe;56050180;MALADE51KRE;55541;Bad Kreuznach
Sparkasse Rosenheim-Bad Aibling;Spk Rosenheim-Bad Aibling;71150000;BYLADEM1ROS;83004;Rosenheim
Sparkasse Rotenburg Osterholz;Spk Rotenburg Osterholz;24151235;BRLADE21ROB;27393;Zeven
Sparkasse Rottal-Inn;Spk Rottal-Inn Eggenfelden;74351430;BYLADEM1EGF;84307;Eggenfelden
Sparkasse Saarbrücken;Sparkasse Saarbrücken;59050101;SAKSDE55XXX;66104;Saarbrücken
Sparkasse Salem-Heiligenberg;Spk Salem-Heiligenberg;69051725;SOLADES1SAL;88682;Salem
Sparkasse Schaumburg;Sparkasse Schaumburg;25551480;NOLADE21SHG;31726;Rinteln
Sparkasse Schwaben-Bodensee;Spk Schwaben-Bodensee;73150000;BYLADEM1MLM;87700;Memmingen
Sparkasse Schwarzwald-Baar;Spk Schwarzwald-Baar;69450065;SOLADES1VSS;78001;Villingen-Schwenningen
Sparkasse Schweinfurt-Haßberge;Spk Schweinfurt-Haßberge;79350101;BYLADEM1KSW;97410;Schweinfurt
Sparkasse Schwelm-Sprockhövel;Spk Schwelm-Sprockhövel;45451555;WELADED1SLM;58332;Schwelm
Sparkasse Schwäbisch Hall-Crailsheim;Sparkasse Schwäbisch Hall;62250030;SOLADES1SHA;74504;Schwäbisch Hall
Sparkasse Siegen;Spk Siegen;46050001;WELADED1SIE;57009;Siegen
Sparkasse Sonneberg;Sparkasse Sonneberg;84054722;HELADEF1SON;96515;Sonneberg
Sparkasse Spree-Neiße;Sparkasse Spree-Neiße;18050000;WELADED1CBN;03006;Cottbus
Sparkasse St. Blasien;Spk St. Blasien;68052230;SOLADES1STB;79837;St. Blasien
Sparkasse Stade-Altes Land;Spk Stade-Altes Land;24151005;NOLADE21STS;21660;Stade
Sparkasse Starkenburg;Sparkasse Starkenburg;50951469;HELADEF1HEP;64646;Heppenheim (Bergstraße)
Sparkasse Staufen-Breisach;Spk Staufen-Breisach;68052328;SOLADES1STF;79216;Staufen im Breisgau
Sparkasse Südholstein;Spk Südholstein Neumünster;23051030;NOLADE21SHO;24531;Neumünster
Sparkasse Südpfalz;Sparkasse Südpfalz;54850010;SOLADES1SUW;76825;Landau in der Pfalz
Sparkasse Südwestpfalz;Spk Südwestpfalz Pirmasens;54250010;MALADE51SWP;66930;Pirmasens
Sparkasse Tauberfranken;Spk Tauberfranken;67352565;SOLADES1TBB;97931;Tauberbischofsheim
Sparkasse Trier;Sparkasse Trier;58550130;TRISDE55XXX;54292;Trier
Sparkasse Uckermark;Spk Uckermark Prenzlau;17056060;WELADED1UMP;17291;Prenzlau
Sparkasse Uecker-Randow;Sparkasse Uecker-Randow;15050400;NOLADE21PSW;17309;Pasewalk
Sparkasse Uelzen Lüchow-Dannenberg;Sparkasse Uelzen Lüchow-Dbg;25850110;NOLADE21UEL;29525;Uelzen
Sparkasse Ulm;Sparkasse Ulm;63050000;SOLADES1ULM;89073;Ulm
Sparkasse UnnaKamen;Sparkasse UnnaKamen;44350060;WELADED1UNN;59409;Unna
Sparkasse Unstrut-Hainich;Sparkasse Unstrut-Hainich;82056060;HELADEF1MUE;99974;Mühlhausen/Thüringen
Sparkasse Vest Recklinghausen;Spk Recklinghausen;42650150;WELADED1REK;45608;Recklinghausen
Sparkasse Vogtland;Sparkasse Vogtland;87058000;WELADED1PLX;08506;Plauen
Sparkasse Vorderpfalz;Sparkasse Vorderpfalz;54550010;LUHSDE6AXXX;67059;Ludwigshafen am Rhein
Sparkasse Vorpommern;Spk Vorpommern;15050500;NOLADE21GRW;17462;Greifswald
Sparkasse Vorpommern auf Rügen;Spk Vorpommern auf Rügen;13051042;NOLADE21RUE;18525;Bergen auf Rügen
