name;kurzname;blz;bic;plz;ort
Raiffeisenbank;Raiffeisenbank Bechhofen;76069378;GENODEF1BEH;91572;Bechhofen
Raiffeisenbank;Raiffeisenbank;79069213;GENODEF1RNM;97517;Rannungen
Raiffeisenbank Aichhalden-Hardt-Sulgen;Raiffbk Aichh-Hardt-Sulgen;60069553;GENODES1HAR;78739;Hardt
Raiffeisenbank Aidlingen;Raiffeisenbank Aidlingen;60069206;GENODES1AID;71134;Aidlingen
Raiffeisenbank Aitrang-Ruderatshofen;Raiffbk Aitrang-Ruderatshfn;73369851;GENODEF1AIT;87648;Aitrang
Raiffeisenbank Aldenhoven;Raiffeisenbank Aldenhoven;37069103;GENODED1ALD;52449;Aldenhoven
Raiffeisenbank Alteglofsheim-Hagelstadt;Raiffbk Alteglofshm-Hagelst;75069055;GENODEF1HGA;93095;Hagelstadt
Raiffeisenbank Altmühl-Jura;Raiffeisenbank Altmühl-Jura;76069462;GENODEF1GDG;91171;Greding
Raiffeisenbank Altschweier;Raiffeisenbank Altschweier;66261416;GENODE61ALR;77815;Bühl
Raiffeisenbank Aresing-Gerolsbach;Raiffbk Aresing-Gerolsbach;72169080;GENODEF1GSB;85302;Gerolsbach
Raiffeisenbank Arnstorf;Raiffeisenbank Arnstorf;74361211;GENODEF1ARF;94424;Arnstorf
Raiffeisenbank Aschau-Samerberg;Raiffbk Aschau-Samerberg;71162804;GENODEF1ASU;83226;Aschau i. Chiemgau
Raiffeisenbank Auerbach-Freihung;Raiffbk Auerbach-Freihung;76069369;GENODEF1AUO;91275;Auerbach i.d.OPf.
Raiffeisenbank Augsburger Land West;Raiffbk Augsburger Ld West;72069274;GENODEF1ZUS;86441;Zusmarshausen
Raiffeisenbank Bad Homburg Ndl d FrankfurterVB;Raiffeisenbank Bad Homburg;50069693;GENODE51BH1;61352;Bad Homburg
Raiffeisenbank Bad Kötzting;Raiffeisenbank Bad Kötzting;75069081;GENODEF1KTZ;93444;Bad Kötzting
Raiffeisenbank Bad Saulgau;Raiffeisenbank Bad Saulgau;65063086;GENODES1SAG;88343;Bad Saulgau
Raiffeisenbank Bad Windsheim;Raiffbk Bad Windsheim;76069372;GENODEF1WDS;91438;Bad Windsheim
Raiffeisenbank Baiertal;Raiffeisenbank Baiertal;67262243;GENODE61WIB;69168;Wiesloch
Raiffeisenbank Baisweil-Eggenthal-Friesenried;Raiffbk Baisweil-Eggent-Fr;73369871;GENODEF1EGB;87653;Eggenthal
Raiffeisenbank Beuerberg-Eurasburg;Raiffbk Beuerberg-Eurasburg;70169333;GENODEF1EUR;82547;Eurasburg
Raiffeisenbank Bidingen;Raiffeisenbank Bidingen;73369859;GENODEF1BIN;87651;Bidingen
Raiffeisenbank Biebergrund-Petersberg;Raiffbk Biebergrd-Petersbg;53062350;GENODEF1PBG;36094;Petersberg
Raiffeisenbank Bobingen;Raiffeisenbank Bobingen;72069036;GENODEF1BOI;86394;Bobingen
Raiffeisenbank Buch-Eching;Raiffbk Buch-Eching;74369662;GENODEF1EBV;84174;Eching
Raiffeisenbank Burgebrach-Stegaurach;RB Burgebrach-Stegaurach;77062014;GENODEF1BGB;96138;Burgebrach
Raiffeisenbank Böllingertal;Raiffbk Böllingertal;60069976;GENODES1BOE;74078;Heilbronn
Raiffeisenbank Bühlertal;Raiffbk Bühlertal;60069075;GENODES1RVG;74541;Vellberg
Raiffeisenbank Bühlertal;Raiffbk Bühlertal;60069245;GENODES1RVG;74424;Bühlertann
Raiffeisenbank Bütthard-Gaukönigshofen;Raiffbk Bütthard-Gaukönigsh;79069031;GENODEF1BHD;97244;Bütthard
Raiffeisenbank Chamer Land;Raiffeisenbank Chamer Land;74261024;GENODEF1CHA;93404;Cham
Raiffeisenbank Chiemgau-Nord - Obing;Raiffbk Chiemgau-Nord-Obing;70169165;GENODEF1SBC;83119;Obing
Raiffeisenbank Deggendorf-Plattling-Sonnenwald;Raiba Deg.-Pla.-Sonnenw.;74160025;GENODEF1DEG;94457;Deggendorf
Raiffeisenbank Denzlingen-Sexau;Raiffbk Denzlingen-Sexau;68062105;GENODE61DEN;79211;Denzlingen
Raiffeisenbank Dietersheim und Umgebung;Raiffeisenbank Dietersheim;76069410;GENODEF1DIM;91463;Dietersheim
Raiffeisenbank Donau-Heuberg;Raiffbk Donau-Heuberg;64361359;GENODES1RDH;78570;Mühlheim an der Donau
Raiffeisenbank DreiFranken;Raiffbk DreiFranken;76069602;GENODEF1HSE;91093;Heßdorf
Raiffeisenbank Eichenbühl und Umgebung;Raiffbk Eichenbühl u U;79668509;GENODEF1ENB;63928;Eichenbühl
Raiffeisenbank Eifel;Raiffbk Eifel Simmerath;37069642;GENODED1SMR;52152;Simmerath
Raiffeisenbank Elbmarsch;Raiffbk Elbmarsch Heist;22163114;GENODEF1HTE;25492;Heist
Raiffeisenbank Elsavatal;Raiffbk Elsavatal;79665540;GENODEF1EAU;63863;Eschau
Raiffeisenbank Elztal;Raiffeisenbank Elztal;66069103;GENODE61ELZ;74832;Elztal
Raiffeisenbank Ems-Vechte;Raiffeisenbank Ems-Vechte;28069878;GENODEF1KBL;49777;Klein Berßen
Raiffeisenbank Ersingen;Raiffeisenbank Ersingen;66662155;GENODE61ERS;75234;Kämpfelbach
Raiffeisenbank Eschlkam-Lam-Lohberg-Neukirchen b Hl Blut;RB Eschlk-Lam-Lohb-Neukirch;75069110;GENODEF1NKN;93453;Neukirchen b.Hl.Blut
Raiffeisenbank Falkenstein-Wörth;Raiffbk Falkenstein-Wörth;75069038;GENODEF1FKS;93167;Falkenstein
Raiffeisenbank Flachsmeer;Raiffbk Flachsmeer Westover;28562716;GENODEF1WEF;26810;Westoverledingen
Raiffeisenbank Floß;Raiffeisenbank Floß;75362039;GENODEF1FLS;92685;Floß
Raiffeisenbank Frankenhardt-Stimpfach;Raiffbk Frankenh-Stimpfach;60069442;GENODES1RFS;74597;Stimpfach
Raiffeisenbank Fränkische Schweiz;RB Fränkische Schweiz;77365792;GENODEF1HWA;96142;Hollfeld
Raiffeisenbank Gammesfeld;Raiffbk Gammesfeld;60069710;GENODES1RGF;74572;Blaufelden
Raiffeisenbank Geiselhöring-Pfaffenberg;Raiffbk Geiselhöring-Pfabg;74369088;GENODEF1GPF;94333;Geiselhöring
Raiffeisenbank Geislingen-Rosenfeld;Raiffbk Geislingen-Rosenf;60069463;GENODES1RKH;72348;Rosenfeld
Raiffeisenbank Geislingen-Rosenfeld;Raiffbk Geislingen-Rosenf;65362499;GENODES1GEI;72349;Geislingen
Raiffeisenbank Gilching;Raiffeisenbank Gilching;70169382;GENODEF1GIL;82205;Gilching
Raiffeisenbank Gmund am Tegernsee;Raiffeisenbank Gmund am Teg;70169383;GENODEF1GMU;83703;Gmund a. Tegernsee
Raiffeisenbank Goldener Steig - Dreisessel;Raiffbk Gold Steig Dreisess;74061101;GENODEF1RGS;94133;Röhrnbach
Raiffeisenbank Grafschaft-Wachtberg;Raiffbk Grafschaft-Wachtbg;57762265;GENODED1GRO;53501;Grafschaft
Raiffeisenbank Griesstätt-Halfing;Raiffbk Griesstätt-Halfing;70169132;GENODEF1HFG;83128;Halfing
Raiffeisenbank Grimma;Raiffeisenbank Grimma;86065483;GENODEF1GMR;04662;Grimma
Raiffeisenbank Gruibingen;Raiffbk Gruibingen;60069242;GENODES1RGR;73344;Gruibingen
Raiffeisenbank Gymnich;Raiffeisenbank Gymnich;37069322;GENODED1EGY;50374;Erftstadt
Raiffeisenbank Haag-Gars-Maitenbeth;Raiffbk Haag-Gars-Maitenb;70169388;GENODEF1HMA;83523;Haag i.OB
Raiffeisenbank Haibach-Obernau;Raiffbk Haibach-Obernau;79568518;GENODEF1HAC;63803;Haibach
Raiffeisenbank Hallertau;Raiffeisenbank Hallertau;70169693;GENODEF1RHT;84104;Rudelzhausen
Raiffeisenbank Hardt-Bruhrain;Raiffbk Hardt-Bruhrain;66062366;GENODE61DET;76704;Dettenheim
Raiffeisenbank Hengersberg-Schöllnach;Raiffbk Hengersb-Schöllnach;74161608;GENODEF1HBW;94491;Hengersberg
Raiffeisenbank HessenNord;Raiffeisenbank HessenNord;52063550;GENODEF1WOH;34466;Wolfhagen
Raiffeisenbank Hirschau;Raiffbk Hirschau;76069486;GENODEF1HSC;92242;Hirschau
Raiffeisenbank Hochfranken West;Raiffbk Hochfranken West;77069870;GENODEF1SZF;95236;Stammbach
Raiffeisenbank Hofkirchen-Bayerbach;Raiffbk Hofkirchen-Bayerbch;74369068;GENODEF1LWE;84082;Laberweinting
Raiffeisenbank Hohenloher Land;Raiffbk Hohenloher Land;60069714;GENODES1IBR;74665;Ingelfingen
Raiffeisenbank Holzkirchen-Otterfing;Raiffbk Holzkirchen-Otterf;70169410;GENODEF1HZO;83607;Holzkirchen
Raiffeisenbank Höchberg;Raiffeisenbank Höchberg;79063122;GENODEF1HBG;97201;Höchberg
Raiffeisenbank Ichenhausen;Raiffeisenbank Ichenhausen;72069119;GENODEF1ICH;89335;Ichenhausen
Raiffeisenbank Isar-Loisachtal;Raiffbk Isar-Loisachtal;70169543;GENODEF1HHS;82504;Wolfratshausen
Raiffeisenbank Kaarst;Raiffeisenbank Kaarst;37069405;GENODED1KAA;41564;Kaarst
Raiffeisenbank Kaiserstuhl;Raiffeisenbank Kaiserstuhl;68063479;GENODE61VOK;79235;Vogtsburg im Kaiserstuhl
Raiffeisenbank Kalbe-Bismark;Raiffbk Kalbe-Bismark;81063028;GENODEF1KAB;39624;Kalbe (Milde)
Raiffeisenbank Kastellaun;Raiffeisenbank Kastellaun;56061151;GENODED1KSL;56284;Kastellaun
Raiffeisenbank Kieselbronn;Raiffeisenbank Kieselbronn;66661329;GENODE61KBR;75249;Kieselbronn
Raiffeisenbank Kirchweihtal;Raiffeisenbank Kirchweihtal;73369918;GENODEF1OKI;87666;Pforzen
Raiffeisenbank Kirtorf;Raiffeisenbank Kirtorf;50069477;GENODE51KIF;36320;Kirtorf
Raiffeisenbank Knoblauchsland-Bibertgrund;Rbk Knoblauchsl-Bibertgrund;76069669;GENODEF1ZIR;90427;Nürnberg
Raiffeisenbank Kreis Kelheim;Raiffbk Kreis Kelheim;75069014;GENODEF1ABS;93077;Bad Abbach
Raiffeisenbank Küps-Mitwitz-Stockheim;Raiffbk Küps-Mitwitz-Stockh;77069044;GENODEF1KC2;96328;Küps
Raiffeisenbank Landshuter Land;Raiffbk Landshuter Land;74362663;GENODEF1ERG;84030;Ergolding
Raiffeisenbank Lech-Donau;RB Lech-Donau;72069005;GENODEF1AIL;86676;Ehekirchen
Raiffeisenbank Lechrain;Raiffeisenbank Lechrain;70169351;GENODEF1ELB;86925;Fuchstal
Raiffeisenbank Leezen;Raiffeisenbank Leezen;23061220;GENODEF1LZN;23816;Leezen
Raiffeisenbank Lorup;Raiffeisenbank Lorup;28069935;GENODEF1LRU;26900;Lorup
Raiffeisenbank MEHR;Raiffeisenbank MEHR;57069144;GENODED1KAI;56759;Kaisersesch
Raiffeisenbank Main-Spessart;Raiffbk Main-Spessart;79069150;GENODEF1GEM;97816;Lohr a. Main
Raiffeisenbank Mainschleife - Steigerwald;RB Mainschleife-Steigerwald;79069001;GENODEF1WED;97332;Volkach
Raiffeisenbank Maintal Ndl d Frankfurter VB;Frankfurter Volksbank;50662669;RBMFDEF1XXX;63477;Maintal
Raiffeisenbank Maitis;Raiffbk Maitis;60069336;GENODES1RMA;73037;Göppingen
Raiffeisenbank Mecklenburger Seenplatte;Raiffbk Mecklenb Seenplatte;15061618;GENODEF1WRN;17192;Waren (Müritz)
Raiffeisenbank Mehring-Leiwen;Raiffbk Mehring-Leiwen;58561771;GENODED1MLW;54340;Leiwen
Raiffeisenbank Mittelschwaben;Raiffbk Mittelschwaben;72069126;GENODEF1BBT;89297;Roggenburg
Raiffeisenbank Moormerland;Raiffeisenbank Moormerland;28562863;GENODEF1HTL;26835;Holtland
Raiffeisenbank München-Nord;Raiffbk München-Nord;70169465;GENODEF1M08;85704;Unterschleißheim
Raiffeisenbank München-Süd;Raiffeisenbank München-Süd;70169466;GENODEF1M03;81457;München
Raiffeisenbank Nahe;Raiffeisenbank Nahe;56261735;GENODED1FIN;55743;Fischbach
Raiffeisenbank Neumarkt;Raiffeisenbank Neumarkt;76069553;GENODEF1NM1;92305;Neumarkt i.d.OPf.
Raiffeisenbank Neumarkt-St. Veit - Reischach;Raiffbk Neumarkt-Reischach;70169530;GENODEF1RWZ;84571;Reischach
Raiffeisenbank Neustadt;Raiffbk Neustadt;57069238;GENODED1ASN;53573;Neustadt (Wied)
Raiffeisenbank Niedere Alb;Raiffeisenbank Niedere Alb;60069066;GENODES1RBA;89129;Langenau
Raiffeisenbank Nördliche Bergstraße;Raiffbk Nördliche Bergstr;50861501;GENODE51ABH;64659;Alsbach-Hähnlein
Raiffeisenbank Oberaudorf;Raiffeisenbank Oberaudorf;71162355;GENODEF1OBD;83080;Oberaudorf
Raiffeisenbank Oberferrieden-Burgthann;Raiffbk Oberferrieden-Burgt;76069564;GENODEF1BTO;90559;Burgthann
Raiffeisenbank Oberland;Raiffeisenbank Oberland;77069868;GENODEF1MGA;95352;Marktleugast
Raiffeisenbank Oberpfalz NordWest;Raiffbk Oberpfalz NordWest;77069764;GENODEF1KEM;95478;Kemnath
Raiffeisenbank Oberpfalz Süd;Raiffbk Oberpfalz Süd;75062026;GENODEF1DST;93093;Donaustauf
Raiffeisenbank Oberteuringen-Meckenbeuren;RB Oberteuringen-Meckenb.;65162832;GENODES1OTE;88094;Oberteuringen
Raiffeisenbank Oldersum;Raiffeisenbank Oldersum;28069755;GENODEF1MLO;26802;Moormerland
Raiffeisenbank Ortenburg-Kirchberg;Raiffbk Ortenburg-Kirchberg;74061670;GENODEF1ORT;94496;Ortenburg
Raiffeisenbank Ostprignitz-Ruppin;Raiffeisenbank Ostpr-Ruppin;16061938;GENODEF1NPP;16803;Neuruppin
Raiffeisenbank Ottenbach;Raiffeisenbank Ottenbach;60069457;GENODES1OTT;73113;Ottenbach
Raiffeisenbank Owschlag;Raiffeisenbank Owschlag;20069641;GENODEF1OWS;24811;Owschlag
Raiffeisenbank Parkstetten;Raiffeisenbank Parkstetten;74369130;GENODEF1PST;94365;Parkstetten
Raiffeisenbank Pfaffenhausen;Raiffbk Pfaffenhausen;72069789;GENODEF1PFA;87772;Pfaffenhausen
Raiffeisenbank Pfaffenhofen a d Glonn;Raiffbk Pfaffenhofen Glonn;70169186;GENODEF1ODZ;85235;Odelzhausen
Raiffeisenbank Pfaffenwinkel;Raiffbk Pfaffenwinkel;70169509;GENODEF1PEI;86971;Peiting
Raiffeisenbank Plankstetten;Raiffeisenbank Plankstetten;76069576;GENODEF1BPL;92334;Berching
Raiffeisenbank Rastede;Raiffeisenbank Rastede;28062165;GENODEF1RSE;26170;Rastede
Raiffeisenbank Rattiszell-Konzell;Raiffbk Rattiszell-Konzell;74369146;GENODEF1RZK;94372;Rattiszell
Raiffeisenbank Regensburg-Wenzenbach;Raiffbk Regensburg-Wenzenb;75060150;GENODEF1R02;93018;Regensburg
Raiffeisenbank Regenstauf;Raiffeisenbank Regenstauf;75061851;GENODEF1REF;93122;Regenstauf
Raiffeisenbank Reute-Gaisbeuren;Raiffbk Reute-Gaisbeuren;60069350;GENODES1RRG;88339;Bad Waldsee
Raiffeisenbank Rosenstein;Raiffeisenbank Rosenstein;61361722;GENODES1HEU;73540;Heubach
Raiffeisenbank Rupertiwinkel;Raiffbk Rupertiwinkel;70169191;GENODEF1TEI;83315;Teisendorf
Raiffeisenbank Scharrel;Raiffeisenbank Scharrel;28065286;GENODEF1SAN;26683;Saterland
Raiffeisenbank Schrobenhausener Land;Raiffbk Schrobenhausener Ld;72169246;GENODEF1WFN;86571;Langenmosen
Raiffeisenbank Schrozberg-Rot am See;Raiffbk Schrozberg-Rot;60069595;GENODES1SBB;74573;Schrozberg
Raiffeisenbank Schwaben Mitte;Raiffbk Schwaben Mitte;72069736;GENODEF1BLT;86370;Krumbach (Schwaben)
Raiffeisenbank Schwabmünchen-Stauden;RB Schwabmünchen-Stauden;72069220;GENODEF1SMU;86827;Schwabmünchen
Raiffeisenbank Singoldtal;Raiffbk Singoldtal;70169413;GENODEF1HUA;86857;Hurlach
Raiffeisenbank Sinzing;Raiffeisenbank Sinzing;75069078;GENODEF1SZV;93161;Sinzing
Raiffeisenbank Sondelfingen;Raiffbk Sondelfingen;60069147;GENODES1RSF;72740;Reutlingen
Raiffeisenbank Steingaden;Raiffeisenbank Steingaden;70169558;GENODEF1SGA;86989;Steingaden
Raiffeisenbank Straubing;Raiffeisenbank Straubing;74260110;GENODEF1SR2;94315;Straubing
Raiffeisenbank Strücklingen-Idafehn;Raiffbk Strückl.-Idafehn;28069052;GENODEF1ORF;26842;Ostrhauderfehn
Raiffeisenbank Südhardt Durmersheim;Rb Südhardt Durmersheim;66562053;GENODE61DUR;76448;Durmersheim
Raiffeisenbank Südliches Ostallgäu;Raiffbk Südliches Ostallgäu;73369933;GENODEF1RHP;87637;Seeg
Raiffeisenbank Taufkirchen-Oberneukirchen;Raiffbk Taufk-Oberneukirch;70169568;GENODEF1TAE;84565;Oberneukirchen
Raiffeisenbank Tüngental;Raiffbk Tüngental;60069950;GENODES1TUN;74523;Schwäbisch Hall
Raiffeisenbank Uehlfeld-Dachsbach;Raiffbk Uehlfeld-Dachsbach;76069404;GENODEF1DSB;91462;Dachsbach
Raiffeisenbank Unteres Inntal;Raiffbk Unteres Inntal;74061564;GENODEF1NUI;94152;Neuhaus a.Inn
Raiffeisenbank Unteres Vilstal;Raiffbk Unteres Vilstal;76069611;GENODEF1SDM;92287;Schmidmühlen
Raiffeisenbank Unteres Zusamtal;Raiffbk Unteres Zusamtal;72069179;GENODEF1BWI;86647;Buttenwiesen
Raiffeisenbank Voreifel;Raiffbk Voreifel, Rheinbach;37069627;GENODED1RBC;53359;Rheinbach
Raiffeisenbank Wald-Görisried;Raiffbk Wald-Görisried;73369954;GENODEF1WGO;87616;Wald
Raiffeisenbank Wallgau-Krün;Raiffbk Wallgau-Krün;70362595;GENODEF1WAK;82499;Wallgau
Raiffeisenbank Wangen;Raiffeisenbank Wangen;60069685;GENODES1RWA;73117;Wangen
Raiffeisenbank Welling;Raiffeisenbank Welling;57069361;GENODED1WLG;56753;Welling
Raiffeisenbank Werratal-Landeck;Raiffbk Werratal-Landeck;53261342;GENODEF1RAW;36266;Heringen (Werra)
Raiffeisenbank Wesermarsch-Süd;Raiffbk Wesermarsch-Süd;28061410;GENODEF1BRN;26913;Brake (Unterweser)
Raiffeisenbank Westeifel;Raiffeisenbank Westeifel;58661901;GENODED1WSC;54687;Arzfeld
Raiffeisenbank Westhausen;Raiffeisenbank Westhausen;60069544;GENODES1RWN;73461;Westhausen
Raiffeisenbank Westkreis Fürstenfeldbruck;Raiffbk Westkreis;70169460;GENODEF1MOO;82272;Moorenweis
Raiffeisenbank Wiesedermeer-Wiesede-Marcardsm;Raiffbk Wiesederm-Wiesede-M;28069773;GENODEF1WWM;26446;Friedeburg
Raiffeisenbank Wittelsbacher Land;RB Wittelsb. Land, Mering;72069155;GENODEF1MRI;86415;Mering
Raiffeisenbank Wyhl;Raiffbk Wyhl Kaiserstuhl;68062730;GENODE61WYH;79369;Wyhl am Kaiserstuhl
Raiffeisenbank Wüstenselbitz;Raiffbk Wüstenselbitz;77069906;GENODEF1WSZ;95233;Helmbrechts
Raiffeisenbank am Kulm;Raiffeisenbank am Kulm;77069782;GENODEF1SPK;95469;Speichersdorf
Raiffeisenbank i Lkr Passau-Nord;Raiffbk i Lkr Passau-Nord;74062786;GENODEF1TIE;94113;Tiefenbach
Raiffeisenbank im Allgäuer Land;Raiffbk im Allg Land;73369264;GENODEF1DTA;87463;Dietmannsried
Raiffeisenbank im Breisgau;Raiffeisenbank im Breisgau;68064222;GENODE61GUN;79194;Gundelfingen
Raiffeisenbank im Donautal;Raiffbk im Donautal;72169812;GENODEF1GAH;85080;Gaimersheim
Raiffeisenbank im Fuldaer Land;RB im Fuldaer LandGrl.;53062035;GENODEF1GLU;36137;Großenlüder
Raiffeisenbank im Grabfeld;Raiffeisenbank im Grabfeld;79069188;GENODEF1SLZ;97528;Sulzdorf a.d.Lederhecke
Raiffeisenbank im Kreis Calw;Raiffbk Calw;60663084;GENODES1RCW;75387;Neubulach
Raiffeisenbank im Nürnberger Land;Raiffbk im Nürnberger Land;76061482;GENODEF1HSB;90537;Feucht
Raiffeisenbank im Oberland;Raiffbk im Oberland;70169598;GENODEF1MIB;83646;Bad Tölz
Raiffeisenbank im Oberpfälzer Jura;Raiffbk im Oberpf. Jura;75069061;GENODEF1HEM;92331;Parsberg
Raiffeisenbank in Rheinhessen;Raiffeisenbank Rheinhessen;55060611;GENODE51MZ6;55120;Mainz
Raiffeisenbank-Volksbank Oder-Spree;Raiff-VB Oder-Spree Beeskow;17062428;GENODEF1BKW;15848;Beeskow
Rheingauer Volksbank;Rheingauer Volksbank;51091500;GENODE51RGG;65359;Geisenheim
VBU Volksbank im Unterland;VBU Volksbank im Unterland;62063263;GENODES1VLS;74336;Brackenheim
VR Bank;VR Bank Monheim am Rhein;30560548;GENODED1NLD;40789;Monheim am Rhein
VR Bank;VR Bank;55361202;GENODE51AHM;67577;Alsheim
VR Bank Alzey-Land-Schwabenheim;VRB Alzey-Land-Schwabenheim;50069126;GENODE51ABO;55270;Schwabenheim an der Selz
